,GPE,ORGANIZATION,PERSON
0,['Schiedam'],,['Voetganger']
1,['Automobilist'],,['Hofplein']
2,"['Voetganger', 'Schiedam']",,
3,['Minder'],,
4,['Minder'],,
5,,,
6,['Chinese'],,
7,"['Fietser', 'Mijdrecht']",,
8,,,
9,['Vlaardingen'],,
10,['Automobilist'],,
11,"['Fietser', 'Eindhoven']",,
12,"['Fietser', 'Eindhoven']",,
13,['Socialisten'],,
14,"['Fietser', 'Veldhoven']",,
15,,,
16,"['Fietser', 'Hilversum']",,
17,['Steenbergen'],,
18,['Steenbergen'],,
19,,,"['Fietser', 'Isselt']"
20,"['Vrouw', 'Woerden']",,
21,"['Fietser', 'Woerden']",,
22,['Steenbergen'],,
23,['Steenbergen'],,
24,['Steenbergen'],,
25,,,['Fietsster']
26,['Breda'],,
27,['Wielrenner'],['Gravenmoer'],
28,['Breda'],,
29,,,['Rossum']
30,['Zwaargewonde'],,
31,"['Rossum', 'Tielse']",,
32,['Rossum'],,['N322']
33,['Westerlo'],,['Moeskroen']
34,['Eindhoven'],,
35,"['Automobilist', 'Eindhoven']",,
36,['Alphen'],,['Fietser']
37,['Meisje'],,['Pieter']
38,['Noord'],,['Automobilist']
39,['Voetganger'],,
40,"['Meisje', 'Osdorp']",,['Pieter']
41,['Drone'],,['Den']
42,,,
43,"['Man', 'Den']",,
44,,,"['Peuter', 'De']"
45,['Jonge'],,
46,,,"['Peuter', 'De']"
47,['Voetganger'],,
48,,,"['Voetganger', 'Den']"
49,['Waalwijk'],,['Fietser']
50,['Waalwijk'],,['Fietser']
51,"['Dode', 'Son']",,
52,['Son'],,['Fietsster']
53,['Son'],,
54,"['Dode', 'Son']",,
55,"['Fietsster', 'Son']",,
56,['Woerden'],,['Fietser']
57,['Fietser'],,['Leidseweg']
58,['Iris'],,
59,['Voetganger'],,['Rucphen']
60,['Zerk'],,
61,['Meisjesscouts'],,
62,['Meisjes'],,
63,['Leende'],,['Motor']
64,['Graf'],,
65,['Graf'],,
66,['Wageningen'],,['Fietser']
67,['Met'],,
68,['Met'],,
69,"['Half', 'Chiel']",,['Almelo']
70,"['Half', 'Almelo']",,
71,"['Fietser', 'Breda']",,
72,"['Fietser', 'Breda']",,
73,['Verhuurder'],,
74,,,
75,['Eindhoven'],,['Voetganger']
76,,,['Man']
77,['Breda'],,
78,['Meisje'],,
79,['Motorrijder'],,
80,['Vrachtwagen'],,
81,['Vrouw'],,
82,['Vrouw'],,
83,['Politie'],,
84,"['Dronken', 'Goes']",,
85,"['Twee', 'Goes']",,
86,"['Dronken', 'Goes']",,
87,"['Twee', 'Goes']",,
88,['Tilburg'],,['Scooter']
89,['Fietser'],,['Marum']
90,"['Vrouw', 'Vlaardingen']",,
91,['Eindhoven'],,
92,['Twee'],,
93,['Twee'],,
94,"['Vrouw', 'Macedonië', 'Goes']",,
95,['Overleden'],,['Macedonië']
96,"['Twee', 'Goes']",,
97,"['Fietser', 'Vlaardingen']",,
98,['Apeldoorn'],,['Fietster']
99,,,['Fietsster']
100,,,['Voetgangster']
101,,,"['Auto', 'Hatertseweg']"
102,,,
103,,,
104,,,['Schutter']
105,['Hengelo'],,
106,,,['Schutter']
107,,,['Schutter']
108,['Rucphen'],,
109,['Baarn'],,['Fietsster']
110,,,
111,['Vijf'],,['Nieuwe']
112,,,['Nieuwe']
113,,,
114,,,
115,,,
116,['Britt'],,
117,['Britt'],,
118,['Britt'],,
119,['Britt'],,
120,['Zwaargewonde'],,
121,,['WIM'],
122,,,['Trein']
123,,,['Grijpskerke']
124,,,['Hotel']
125,['Collega'],,['Hotel']
126,,,
127,,,
128,,,
129,,,
130,,,
131,['Fietser'],,['Brede']
132,['Loenen'],,
133,"['Fietser', 'Rotterdam']",,
134,['Fietser'],,['Rotterdam']
135,['Eindhoven'],,['Fietser']
136,"['Fietser', 'Eindhoven']",,
137,['Nationale'],,
138,['Nationale'],,
139,"['Fietser', 'Heemskerk']",,
140,['Wijhe'],,
141,['Fietser'],,['Marnixstraat']
142,['Twee'],,
143,,,['Taxibusje']
144,['Mijdrecht'],,"['Fietsster', 'Rondweg']"
145,['Moeder'],,
146,['Mijdrecht'],,
147,,,['Man']
148,,,['Man']
149,"['Fietser', 'Someren']",,
150,"['Fietser', 'Haaksbergen']",,
151,['Auto'],,
152,"['Fietser', 'Haaksbergen']",,
153,"['Onderzoek', 'Zwolle']",,
154,,['VAN'],
155,,,
156,['Breda'],,['Fietser']
157,"['Fietser', 'Eindhoven']",,
158,"['Fietser', 'Eindhoven']",,
159,"['Fietser', 'Eindhoven']",,
160,"['Fietser', 'Eindhoven']",,
161,,['Cuijk'],['Fietsster']
162,,['Cuijk'],['Fietster']
163,"['Scooterrijder', 'Udenhout']",,
164,"['Scooterrijder', 'Udenhout']",,
165,['Dongen'],,['Fietser']
166,['Dongen'],,['Fietser']
167,['Erp'],,['Tractor']
168,,['Brabantse'],['Tractor']
169,,,['Tractor']
170,['Fietser'],,['Hilversum']
171,['Erp'],,['Tractor']
172,['Erp'],,['Tractor']
173,['Boerdonk'],,['Tractor']
174,,,"['Kampen', 'Woerden']"
175,,,
176,,,['Ter']
177,['Erasmuslaan'],,
178,['Erasmuslaan'],,
179,['Barneveld'],,['Fietsster']
180,"['Motorrijder', 'Vessem']",,
181,['Vessem'],,
182,"['Ernstige', 'Tilburg']",,
183,['Politie'],,
184,"['Scooterrijder', 'Purmerend']",,
185,['Dit'],,
186,['Dit'],,
187,['Dit'],,
188,['Aantal'],,['Rotterdamse']
189,,,"['Rotterdamse', 'Bergweg']"
190,['Vijf'],,
191,,,
192,['Facebookpagina'],,
193,['Plek'],,"['Omroep', 'Spoordrama']"
194,['Laat'],,
195,"['Burgemeester', 'Oss']",,['Oss']
196,['Oss'],,
197,['Apeldoorn'],,
198,"['Fietser', 'Leerdam']",,
199,"['Man', 'Woudrichem']",,
